id,node,batchsize,delay,tx,send,round
7,16,1000,19.75233745574951,16000,5590,0
7,16,1000,15.745283603668213,16000,4580,1
7,16,1000,12.546548843383789,16000,4180,2
7,16,1000,14.30818510055542,16000,4130,3
7,16,1000,15.786919355392456,16000,4540,4
7,16,1000,14.673965215682983,16000,4410,5
7,16,1000,23.86579442024231,16000,6900,6
12,16,1000,19.99856996536255,16000,5590,0
12,16,1000,15.753594160079956,16000,4580,1
12,16,1000,12.581470251083374,16000,4190,2
12,16,1000,14.387378215789795,16000,4120,3
12,16,1000,15.758872270584106,16000,4520,4
12,16,1000,14.76686716079712,16000,4420,5
12,16,1000,23.716440200805664,16000,6900,6
6,16,1000,19.93815541267395,16000,5590,0
6,16,1000,15.768887281417847,16000,4580,1
6,16,1000,12.550659656524658,16000,4190,2
6,16,1000,14.486653804779053,16000,4100,3
6,16,1000,15.64690613746643,16000,4530,4
6,16,1000,14.6859450340271,16000,4450,5
6,16,1000,24.03580403327942,16000,6920,6
1,16,1000,19.475531339645386,16000,5600,0
1,16,1000,15.79905915260315,16000,4576,1
1,16,1000,12.534486293792725,16000,4128,2
1,16,1000,14.242647886276245,16000,4192,3
1,16,1000,15.74610710144043,16000,4512,4
1,16,1000,14.801220178604126,16000,4448,5
1,16,1000,23.79112720489502,16000,6880,6
0,16,1000,19.886083841323853,16000,5590,0
0,16,1000,16.197223663330078,16000,4580,1
0,16,1000,12.296753406524658,16000,4170,2
0,16,1000,14.28923225402832,16000,4120,3
0,16,1000,15.55231237411499,16000,4530,4
0,16,1000,14.787203550338745,16000,4430,5
0,16,1000,23.893985509872437,16000,6900,6
3,16,1000,20.20129108428955,16000,5590,0
3,16,1000,15.592408418655396,16000,4580,1
3,16,1000,12.543854475021362,16000,4190,2
3,16,1000,14.322672843933105,16000,4100,3
3,16,1000,15.734680891036987,16000,4530,4
3,16,1000,14.731967687606812,16000,4440,5
3,16,1000,23.863131046295166,16000,6890,6
15,16,1000,19.213584184646606,16000,5590,0
15,16,1000,15.576870203018188,16000,4580,1
