id,shard_id,node,shard,batchsize,delay,tx,tps,total_tx,total_tps,send,round
20,2,32,4,1000,4.024980783462524,8000,1987.5871290788948,32000,7950.348516315579,1040,0
20,2,32,4,1000,8.469031572341919,8000,944.6180394611259,32000,3778.4721578445037,1340,1
20,2,32,4,1000,5.236821889877319,8000,1527.6440880038049,32000,6110.5763520152195,980,2
20,2,32,4,1000,4.515481233596802,8000,1771.682703601363,32000,7086.730814405452,1010,3
20,2,32,4,1000,6.118021249771118,8000,1307.6123265016918,32000,5230.449306006767,1100,4
20,2,32,4,1000,5.165573835372925,8000,1548.714674295706,32000,6194.858697182824,1110,5
20,2,32,4,1000,5.7990381717681885,8000,1379.5391171844476,32000,5518.15646873779,1120,6
7,0,32,4,1000,5.051039218902588,8000,1583.8324854143812,32000,6335.329941657525,1032,0
7,0,32,4,1000,6.160438299179077,8000,1298.6088994781521,32000,5194.4355979126085,1344,1
7,0,32,4,1000,7.567806720733643,8000,1057.109449965506,32000,4228.437799862024,960,2
7,0,32,4,1000,3.7317137718200684,8000,2143.7871415572586,32000,8575.148566229034,1056,3
7,0,32,4,1000,8.606324911117554,8000,929.5489169442917,32000,3718.195667777167,1080,4
7,0,32,4,1000,5.941402435302734,8000,1346.4834417654413,32000,5385.933767061765,1128,5
7,0,32,4,1000,5.837546348571777,8000,1370.438797793407,32000,5481.755191173628,1128,6
30,3,32,4,1000,4.746822357177734,8000,1685.3379793964887,32000,6741.351917585955,1170,0
30,3,32,4,1000,7.342294692993164,8000,1089.5776231420527,32000,4358.310492568211,1230,1
30,3,32,4,1000,4.660674333572388,8000,1716.489809719881,32000,6865.959238879524,1150,2
30,3,32,4,1000,5.515249729156494,8000,1450.5236195757043,32000,5802.094478302817,1140,3
30,3,32,4,1000,6.324407577514648,8000,1264.94061332205,32000,5059.7624532882,1200,4
30,3,32,4,1000,5.552637815475464,8000,1440.756675629666,32000,5763.026702518664,1270,5
30,3,32,4,1000,5.091797828674316,8000,1571.1542895415496,32000,6284.617158166198,1230,6
12,1,32,4,1000,6.760961294174194,8000,1183.263688684842,32000,4733.054754739368,1180,0
12,1,32,4,1000,5.094770193099976,8000,1570.2376548474508,32000,6280.950619389803,1220,1
12,1,32,4,1000,4.569899082183838,8000,1750.5857035637216,32000,7002.342814254886,1150,2
12,1,32,4,1000,5.522838592529297,8000,1448.5304732283034,32000,5794.121892913214,1140,3
12,1,32,4,1000,5.90298867225647,8000,1355.2456974209183,32000,5420.982789683673,1200,4
12,1,32,4,1000,5.80741810798645,8000,1377.5484821728744,32000,5510.193928691498,1270,5
12,1,32,4,1000,6.529966592788696,8000,1225.121122186861,32000,4900.484488747444,1230,6
28,3,32,4,1000,5.314818382263184,8000,1505.2254704879301,32000,6020.9018819517205,1300,0
28,3,32,4,1000,7.4877235889434814,8000,1068.4155077269354,32000,4273.662030907742,1130,1
28,3,32,4,1000,4.577115058898926,8000,1747.8258459870324,32000,6991.3033839481295,890,2
28,3,32,4,1000,6.0235819816589355,8000,1328.1134089913633,32000,5312.453635965453,980,3
28,3,32,4,1000,6.387331485748291,8000,1252.4792267083633,32000,5009.916906833453,1160,4
28,3,32,4,1000,5.5546393394470215,8000,1440.2375223872627,32000,5760.950089549051,1060,5
28,3,32,4,1000,5.4883222579956055,8000,1457.6403541802383,32000,5830.561416720953,1220,6
25,3,32,4,1000,4.626806974411011,8000,1729.054193149779,32000,6916.216772599116,1152,0
25,3,32,4,1000,7.244552850723267,8000,1104.2779540494778,32000,4417.111816197911,1248,1
25,3,32,4,1000,4.543814182281494,8000,1760.635377915723,32000,7042.541511662892,1152,2
25,3,32,4,1000,5.786161184310913,8000,1382.609254248201,32000,5530.437016992804,1152,3
25,3,32,4,1000,6.105186462402344,8000,1310.3612885972466,32000,5241.445154388986,1200,4
25,3,32,4,1000,5.799372911453247,8000,1379.459490215004,32000,5517.837960860016,1248,5
25,3,32,4,1000,5.198007583618164,8000,1539.0512367108668,32000,6156.204946843467,1248,6
23,2,32,4,1000,3.8399105072021484,8000,2083.3818874151298,32000,8333.527549660519,1300,0
23,2,32,4,1000,8.677028894424438,8000,921.974571865322,32000,3687.898287461288,1150,1
23,2,32,4,1000,5.107010841369629,8000,1566.4740586010803,32000,6265.896234404321,860,2
23,2,32,4,1000,4.520634889602661,8000,1769.6629334963072,32000,7078.651733985229,1010,3
23,2,32,4,1000,6.15458607673645,8000,1299.8437100813292,32000,5199.374840325317,1140,4
23,2,32,4,1000,5.24287223815918,8000,1525.881165246337,32000,6103.524660985348,1060,5
23,2,32,4,1000,5.958011865615845,8000,1342.7297864525294,32000,5370.919145810118,1220,6
26,3,32,4,1000,5.132995843887329,8000,1558.544024446633,32000,6234.176097786532,1140,0
26,3,32,4,1000,7.234619617462158,8000,1105.794143024527,32000,4423.176572098108,1260,1
26,3,32,4,1000,4.539931297302246,8000,1762.1412034921814,32000,7048.5648139687255,1150,2
26,3,32,4,1000,5.6794962882995605,8000,1408.57561901765,32000,5634.3024760706,1130,3
26,3,32,4,1000,6.0980589389801025,8000,1311.8928629669815,32000,5247.571451867926,1220,4
26,3,32,4,1000,5.782438278198242,8000,1383.4994192956144,32000,5533.997677182458,1260,5
26,3,32,4,1000,5.001880645751953,8000,1599.3984196312879,32000,6397.5936785251515,1220,6
6,0,32,4,1000,5.026012420654297,8000,1591.719106607091,32000,6366.876426428364,1160,0
6,0,32,4,1000,6.559984445571899,8000,1219.515086716423,32000,4878.060346865692,1240,1
