id,node,batchsize,delay,tx,tps,send,round
7,16,16000,1.4503052234649658,12000,8274.120375385848,160,0
7,16,16000,0.8867299556732178,12000,13532.868629536071,170,1
12,16,16000,0.8865034580230713,12000,13536.32621666288,160,0
12,16,16000,0.8873670101165771,12000,13523.153174720243,170,1
6,16,16000,0.7927634716033936,12000,15136.923470665915,160,0
6,16,16000,0.8743424415588379,12000,13724.599687286796,170,1
1,16,16000,0.792839527130127,12000,15135.471415554774,166,0
1,16,16000,0.8957293033599854,12000,13396.90457260536,166,1
0,16,16000,0.9409224987030029,12000,12753.441454042364,160,0
0,16,16000,0.8956716060638428,12000,13397.767573246761,170,1
3,16,16000,1.6752736568450928,12000,7163.008832000993,160,0
3,16,16000,0.8842000961303711,12000,13571.588662472455,170,1
15,16,16000,0.8475582599639893,12000,14158.31874555721,160,0
15,16,16000,0.8543932437896729,12000,14045.054882191995,170,1
11,16,16000,1.215120553970337,12000,9875.563342905101,160,0
11,16,16000,0.8912885189056396,12000,13463.65373889713,170,1
10,16,16000,1.5347919464111328,12000,7818.649314690564,160,0
10,16,16000,0.8868246078491211,12000,13531.424245324512,170,1
2,16,16000,1.4894814491271973,12000,8056.495102394012,166,0
2,16,16000,0.8829605579376221,12000,13590.641045200295,166,1
13,16,16000,1.3169238567352295,12000,9112.14413698075,166,0
13,16,16000,0.896202802658081,12000,13389.826459378119,166,1
14,16,16000,1.073608160018921,12000,11177.262288867585,160,0
14,16,16000,0.8871560096740723,12000,13526.369510148073,170,1
9,16,16000,0.8109610080718994,12000,14797.25890709666,166,0
9,16,16000,0.8871479034423828,12000,13526.493106094973,166,1
8,16,16000,1.1680808067321777,12000,10273.261858972919,160,0
8,16,16000,0.8867037296295166,12000,13533.26889130584,170,1
4,16,16000,1.3479220867156982,12000,8902.591713767966,160,0
4,16,16000,0.9051668643951416,12000,13257.224134048194,170,1
5,16,16000,1.1303138732910156,12000,10616.520139720895,160,0
5,16,16000,0.8898448944091797,12000,13485.49626501763,170,1
7,16,32000,1.4153335094451904,24000,16957.13401812127,160,0
7,16,32000,1.0516161918640137,24000,22822.014519821583,170,1
12,16,32000,1.6646406650543213,24000,14417.525958502774,160,0
12,16,32000,1.009110689163208,24000,23783.317586202254,170,1
6,16,32000,0.9073891639709473,24000,26449.511359569675,150,0
6,16,32000,0.950721263885498,24000,25243.992021293936,160,1
1,16,32000,1.6351079940795898,24000,14677.929584406267,166,0
1,16,32000,0.9913978576660156,24000,24208.242749789333,166,1
0,16,32000,0.8964769840240479,24000,26771.462544716265,150,0
0,16,32000,0.9523892402648926,24000,25199.780704499313,160,1
3,16,32000,0.892380952835083,24000,26894.343636260168,160,0
3,16,32000,0.9272093772888184,24000,25884.121308367863,170,1
15,16,32000,0.9198384284973145,24000,26091.538749046806,160,0
15,16,32000,0.9460964202880859,24000,25367.393307219165,170,1
11,16,32000,1.01576566696167,24000,23627.49675502238,160,0
11,16,32000,0.9872443675994873,24000,24310.090579049524,170,1
10,16,32000,1.3556594848632812,24000,17703.560715632368,160,0
10,16,32000,1.0204660892486572,24000,23518.664905044105,170,1
2,16,32000,1.2518200874328613,24000,19172.084104527672,166,0
2,16,32000,1.0470492839813232,24000,22921.557148429416,166,1
13,16,32000,1.36299729347229,24000,17608.252132958416,150,0
13,16,32000,1.0031428337097168,24000,23924.808305957526,166,1
14,16,32000,1.0277209281921387,24000,23352.643058673857,160,0
14,16,32000,0.9938991069793701,24000,24147.320217381137,170,1
9,16,32000,1.6413562297821045,24000,14622.054350252827,166,0
9,16,32000,1.0250182151794434,24000,23414.218054455232,166,1
8,16,32000,1.1269497871398926,24000,21296.42356196726,160,0
8,16,32000,0.9611630439758301,24000,24969.749045619275,170,1
4,16,32000,1.3442838191986084,24000,17853.372671187506,150,0
4,16,32000,1.060652494430542,24000,22627.580782606332,160,1
5,16,32000,0.9538638591766357,24000,25160.823286371833,150,0
5,16,32000,1.0535681247711182,24000,22779.73244987254,160,1
7,16,48000,1.453087329864502,36000,24774.835799687924,160,0
7,16,48000,1.1320157051086426,36000,31801.678932135474,170,1
12,16,48000,1.858889102935791,36000,19366.405420928168,160,0
12,16,48000,1.1388001441955566,36000,31612.219390286642,170,1
6,16,48000,1.1277830600738525,36000,31921.0327539789,160,0
6,16,48000,1.1367218494415283,36000,31670.016739527622,150,1
1,16,48000,1.836181402206421,36000,19605.906016007524,166,0
1,16,48000,1.1659700870513916,36000,30875.577684021027,166,1
0,16,48000,1.2354323863983154,36000,29139.59549413435,160,0
0,16,48000,1.1310851573944092,36000,31827.84228459892,170,1
3,16,48000,1.0951697826385498,36000,32871.615498070634,160,0
3,16,48000,1.132685899734497,36000,31782.862317292413,170,1
15,16,48000,1.0890395641326904,36000,33056.650268413665,160,0
15,16,48000,1.1064047813415527,36000,32537.820341257742,170,1
11,16,48000,1.2384591102600098,36000,29068.37997456528,160,0
11,16,48000,1.1423444747924805,36000,31514.13675506226,170,1
10,16,48000,1.5641710758209229,36000,23015.385309504043,160,0
10,16,48000,1.139589548110962,36000,31590.32132198415,170,1
2,16,48000,1.4090602397918701,36000,25548.943177416957,166,0
2,16,48000,1.1157011985778809,36000,32266.703706948687,166,1
13,16,48000,1.643866777420044,36000,21899.58486569086,166,0
13,16,48000,1.090254306793213,36000,33019.81911531038,166,1
14,16,48000,1.2404677867889404,36000,29021.309850527563,160,0
14,16,48000,1.1459190845489502,36000,31415.83073831963,170,1
9,16,48000,1.135605812072754,36000,31701.14102735291,166,0
9,16,48000,1.067429780960083,36000,33725.87184856353,166,1
