id,node,batchsize,delay,tx,send,round
4,16,3000,2.0259017944335938,24000,320,1
5,16,3000,1.4586853981018066,12000,230,0
5,16,3000,2.1347711086273193,24000,320,1
7,16,4000,1.5740430355072021,16000,240,0
7,16,4000,2.2496540546417236,32000,350,1
12,16,4000,1.1675586700439453,16000,240,0
12,16,4000,2.3593006134033203,32000,350,1
6,16,4000,1.8734076023101807,16000,220,0
6,16,4000,2.24381422996521,32000,320,1
1,16,4000,1.4613096714019775,16000,292,0
1,16,4000,2.1294429302215576,32000,268,1
0,16,4000,1.472581148147583,16000,250,0
0,16,4000,1.872877836227417,32000,300,1
3,16,4000,1.690361499786377,16000,320,0
3,16,4000,2.151176691055298,32000,240,1
15,16,4000,1.1298577785491943,16000,320,0
15,16,4000,2.2467899322509766,32000,240,1
11,16,4000,1.3513603210449219,16000,320,0
11,16,4000,2.26309871673584,32000,240,1
10,16,4000,1.327364444732666,16000,250,0
10,16,4000,2.2029409408569336,32000,300,1
2,16,4000,1.7645585536956787,16000,244,0
2,16,4000,1.9941201210021973,32000,316,1
13,16,4000,1.7791237831115723,16000,244,0
13,16,4000,2.3884830474853516,32000,292,1
14,16,4000,1.523496389389038,16000,250,0
14,16,4000,2.2086687088012695,32000,300,1
9,16,4000,1.9353094100952148,16000,256,0
9,16,4000,2.3791518211364746,32000,304,1
8,16,4000,1.3139488697052002,16000,240,0
8,16,4000,2.3825645446777344,32000,350,1
4,16,4000,1.73921799659729,16000,220,0
4,16,4000,2.050459861755371,32000,320,1
5,16,4000,1.492109775543213,16000,220,0
5,16,4000,1.987034559249878,32000,320,1
7,16,5000,1.852172613143921,20000,230,0
7,16,5000,2.165339708328247,40000,320,1
12,16,5000,2.3018503189086914,20000,230,0
12,16,5000,2.1997203826904297,40000,310,1
6,16,5000,1.5555410385131836,20000,250,0
6,16,5000,2.19392991065979,40000,290,1
1,16,5000,1.2918848991394043,20000,292,0
1,16,5000,2.1624996662139893,40000,268,1
0,16,5000,1.6867973804473877,20000,270,0
0,16,5000,2.177713632583618,40000,280,1
3,16,5000,1.2900047302246094,20000,270,0
3,16,5000,2.2833240032196045,40000,280,1
15,16,5000,1.5003509521484375,20000,270,0
15,16,5000,2.0411808490753174,40000,280,1
11,16,5000,1.3914997577667236,20000,270,0
11,16,5000,2.3038675785064697,40000,280,1
10,16,5000,1.5395424365997314,20000,270,0
10,16,5000,2.3517441749572754,40000,280,1
2,16,5000,1.646158218383789,20000,244,0
2,16,5000,2.2748420238494873,40000,316,1
13,16,5000,1.8005890846252441,20000,244,0
13,16,5000,2.220937728881836,40000,292,1
14,16,5000,1.40187668800354,20000,280,0
14,16,5000,2.063000202178955,40000,270,1
9,16,5000,1.952538251876831,20000,256,0
9,16,5000,2.430147886276245,40000,304,1
8,16,5000,1.9004032611846924,20000,230,0
8,16,5000,2.3335888385772705,40000,310,1
4,16,5000,1.7960517406463623,20000,250,0
4,16,5000,2.1754560470581055,40000,290,1
5,16,5000,1.6190392971038818,20000,250,0
5,16,5000,2.1282100677490234,40000,290,1
20,32,1000,1.3351261615753174,4000,260,0
20,32,1000,1.2766125202178955,8000,230,1
7,32,1000,1.5520212650299072,4000,232,0
7,32,1000,2.202946424484253,8000,220,1
30,32,1000,1.3591411113739014,4000,250,0
30,32,1000,1.4535455703735352,8000,300,1
12,32,1000,1.3816661834716797,4000,240,0
12,32,1000,1.934772253036499,8000,300,1
28,32,1000,1.7988433837890625,4000,240,0
28,32,1000,1.4376816749572754,8000,280,1
25,32,1000,1.378251552581787,4000,292,0
25,32,1000,1.3150956630706787,8000,268,1
23,32,1000,1.640204668045044,4000,260,0
23,32,1000,1.3977551460266113,8000,290,1
26,32,1000,2.0313825607299805,4000,290,0
26,32,1000,1.3740191459655762,8000,270,1
6,32,1000,1.9822206497192383,4000,290,0
6,32,1000,2.1943790912628174,8000,270,1
1,32,1000,1.2234008312225342,4000,290,0
1,32,1000,1.8254854679107666,8000,270,1
0,32,1000,1.8084125518798828,4000,256,0
0,32,1000,1.871851921081543,8000,256,1
3,32,1000,1.5687904357910156,4000,260,0
3,32,1000,1.8005292415618896,8000,300,1
15,32,1000,1.4140183925628662,4000,260,0
15,32,1000,1.851297378540039,8000,230,1
16,32,1000,1.5210578441619873,4000,220,0
16,32,1000,1.5841450691223145,8000,210,1
11,32,1000,1.5087792873382568,4000,244,0
11,32,1000,2.118812322616577,8000,316,1
10,32,1000,1.6773347854614258,4000,244,0
10,32,1000,2.158374547958374,8000,292,1
17,32,1000,1.3423268795013428,4000,230,0
17,32,1000,1.6653451919555664,8000,260,1
2,32,1000,1.27634596824646,4000,260,0
2,32,1000,1.6784627437591553,8000,310,1
13,32,1000,1.3607146739959717,4000,300,0
13,32,1000,1.803434133529663,8000,170,1
21,32,1000,1.8063275814056396,4000,268,0
21,32,1000,1.3771636486053467,8000,220,1
14,32,1000,1.71933913230896,4000,256,0
14,32,1000,1.8522117137908936,8000,304,1
9,32,1000,2.214625120162964,4000,260,0
9,32,1000,2.1796014308929443,8000,230,1
22,32,1000,1.4544999599456787,4000,220,0
22,32,1000,1.4212448596954346,8000,210,1
8,32,1000,1.4332561492919922,4000,240,0
8,32,1000,2.0512101650238037,8000,300,1
19,32,1000,1.5861332416534424,4000,240,0
19,32,1000,1.6388037204742432,8000,250,1
4,32,1000,1.602290153503418,4000,310,0
4,32,1000,2.2249999046325684,8000,170,1
27,32,1000,1.5386030673980713,4000,300,0
27,32,1000,1.318763017654419,8000,160,1
29,32,1000,1.646836519241333,4000,220,0
29,32,1000,1.4525704383850098,8000,210,1
31,32,1000,1.2610599994659424,4000,240,0
31,32,1000,1.295468807220459,8000,280,1
18,32,1000,1.9727821350097656,4000,240,0
18,32,1000,1.6355304718017578,8000,280,1
5,32,1000,1.4323005676269531,4000,240,0
5,32,1000,2.052771806716919,8000,250,1
24,32,1000,1.7956271171569824,4000,292,0
24,32,1000,1.3842463493347168,8000,196,1
20,32,2000,1.851593255996704,8000,260,0
20,32,2000,1.6324841976165771,16000,250,1
7,32,2000,1.4324150085449219,8000,232,0
7,32,2000,1.8987812995910645,16000,220,1
30,32,2000,1.54862380027771,8000,250,0
30,32,2000,1.278578758239746,16000,300,1
12,32,2000,1.6427695751190186,8000,250,0
12,32,2000,1.9376685619354248,16000,300,1
28,32,2000,1.442286491394043,8000,240,0
28,32,2000,1.2844347953796387,16000,310,1
25,32,2000,2.0332438945770264,8000,292,0
25,32,2000,1.5670597553253174,16000,268,1
23,32,2000,1.4612340927124023,8000,220,0
23,32,2000,1.6401097774505615,16000,290,1
26,32,2000,1.6481759548187256,8000,260,0
26,32,2000,1.569385051727295,16000,330,1
6,32,2000,1.3737328052520752,8000,260,0
6,32,2000,2.00818133354187,16000,310,1
1,32,2000,1.3538217544555664,8000,260,0
1,32,2000,1.9316341876983643,16000,320,1
0,32,2000,1.6140296459197998,8000,256,0
0,32,2000,2.007683277130127,16000,256,1
3,32,2000,1.5251264572143555,8000,220,0
3,32,2000,1.937767505645752,16000,290,1
15,32,2000,1.8963570594787598,8000,260,0
