id,node,batchsize,delay,tx,send,round
8,16,1000,2.0109078884124756,8000,340,1
8,16,1000,1.6039040088653564,12000,200,2
8,16,1000,1.615356206893921,16000,270,3
8,16,1000,1.4069101810455322,20000,230,4
8,16,1000,1.631587028503418,24000,330,5
8,16,1000,1.8195135593414307,28000,270,6
4,16,1000,1.4128668308258057,4000,250,0
4,16,1000,1.8903441429138184,8000,280,1
4,16,1000,1.177952527999878,12000,250,2
4,16,1000,1.3474884033203125,16000,240,3
4,16,1000,2.0543220043182373,20000,330,4
4,16,1000,1.1763811111450195,24000,260,5
4,16,1000,1.9575464725494385,28000,310,6
5,16,1000,1.343010663986206,4000,250,0
5,16,1000,1.8203530311584473,8000,280,1
5,16,1000,1.150890588760376,12000,250,2
5,16,1000,1.2906124591827393,16000,250,3
5,16,1000,2.0123424530029297,20000,320,4
5,16,1000,1.1686246395111084,24000,260,5
5,16,1000,1.9783270359039307,28000,310,6
7,16,2000,1.6089470386505127,8000,290,0
7,16,2000,1.9184222221374512,16000,330,1
7,16,2000,1.390171766281128,24000,210,2
7,16,2000,1.353626012802124,32000,250,3
7,16,2000,2.181781768798828,40000,250,4
7,16,2000,1.270700454711914,48000,300,5
7,16,2000,2.177478075027466,56000,290,6
12,16,2000,1.7329034805297852,8000,290,0
12,16,2000,2.0563466548919678,16000,330,1
12,16,2000,1.3826193809509277,24000,210,2
12,16,2000,1.3995697498321533,32000,240,3
12,16,2000,1.9354705810546875,40000,260,4
12,16,2000,2.1933422088623047,48000,300,5
12,16,2000,2.143618583679199,56000,290,6
6,16,2000,1.8258044719696045,8000,240,0
6,16,2000,1.922797441482544,16000,300,1
6,16,2000,1.3879265785217285,24000,240,2
6,16,2000,1.5624380111694336,32000,240,3
6,16,2000,2.101858139038086,40000,340,4
6,16,2000,1.3739159107208252,48000,250,5
6,16,2000,2.436774730682373,56000,310,6
1,16,2000,1.7168638706207275,6000,292,0
1,16,2000,1.612706184387207,14000,268,1
1,16,2000,1.9205796718597412,22000,244,2
1,16,2000,1.4744584560394287,30000,244,3
1,16,2000,1.2685189247131348,38000,256,4
1,16,2000,2.1617238521575928,46000,244,5
1,16,2000,1.8979144096374512,54000,304,6
0,16,2000,1.9475231170654297,6000,280,0
0,16,2000,1.6010410785675049,14000,270,1
0,16,2000,1.9088656902313232,22000,260,2
0,16,2000,1.514594316482544,30000,310,3
0,16,2000,1.259559154510498,38000,210,4
0,16,2000,2.1735363006591797,46000,280,5
0,16,2000,1.9817144870758057,54000,360,6
3,16,2000,1.9851515293121338,6000,300,0
3,16,2000,1.6243138313293457,14000,250,1
3,16,2000,1.9219863414764404,22000,260,2
3,16,2000,1.5765941143035889,30000,230,3
3,16,2000,1.2577266693115234,38000,260,4
3,16,2000,2.214325189590454,46000,270,5
3,16,2000,2.159041404724121,54000,260,6
15,16,2000,1.1754961013793945,8000,290,0
15,16,2000,2.009485960006714,16000,260,1
15,16,2000,1.3634002208709717,24000,260,2
15,16,2000,1.3900816440582275,32000,240,3
15,16,2000,1.9784636497497559,40000,250,4
15,16,2000,2.5979089736938477,48000,270,5
15,16,2000,2.4813146591186523,56000,260,6
