id,node,batchsize,delay,tx,tps,send,round
12,16,2000,6.28127,300000,47761.04195489129,60,5
12,16,2000,9.227194,400000,43350.12355868967,50,6
6,16,2000,2.076469,100000,48158.67706187764,60,0
6,16,2000,2.109232,100000,47410.621496355074,60,1
6,16,2000,3.955131,200000,50567.22520695269,60,2
6,16,2000,4.288015,200000,46641.62788609648,70,3
6,16,2000,6.179435,300000,48548.127781908865,70,4
6,16,2000,6.280984,300000,47763.21671890901,50,5
6,16,2000,8.378045,400000,47743.835226475865,60,6
1,16,2000,2.894939,100000,34543.04218499941,61,0
1,16,2000,2.118469,100000,47203.90055271047,61,1
1,16,2000,4.765394,200000,41969.24745362084,67,2
1,16,2000,4.296743,200000,46546.88446574533,70,3
1,16,2000,6.9898750000000005,300000,42919.22244675334,109,4
1,16,2000,6.290798999999999,300000,47688.695823853224,58,5
1,16,2000,9.184231,400000,43552.91150669011,58,6
0,16,2000,2.231538,100000,44812.143015265705,60,0
0,16,2000,2.0990860000000002,100000,47639.78226713912,60,1
0,16,2000,4.109824999999999,200000,48663.872549317806,60,2
0,16,2000,4.278576000000001,200000,46744.524346418046,70,3
0,16,2000,6.333698999999999,300000,47365.68630748004,70,4
0,16,2000,6.270703000000001,300000,47841.52590227921,50,5
0,16,2000,8.530812,400000,46888.854191136794,60,6
3,16,2000,2.158246,100000,46333.9211563464,60,0
3,16,2000,2.1092880000000003,100000,47409.362780236734,60,1
3,16,2000,4.036911,200000,49542.83113994834,60,2
3,16,2000,4.288323999999999,200000,46638.26707123809,70,3
3,16,2000,6.260689000000001,300000,47918.0486364999,70,4
3,16,2000,6.280674999999999,300000,47765.566599131475,50,5
3,16,2000,8.458209000000002,400000,47291.33555342507,60,6
15,16,2000,1.935324,100000,51670.93468587172,60,0
15,16,2000,2.1092419999999996,100000,47410.39672071769,60,1
15,16,2000,3.813825,200000,52440.79106933328,60,2
15,16,2000,4.297707000000001,200000,46536.44373615976,70,3
15,16,2000,6.028217,300000,49765.95898920029,70,4
15,16,2000,6.2919730000000005,300000,47679.797735940694,110,5
15,16,2000,8.223424,400000,48641.539096123466,50,6
11,16,2000,2.321271,100000,43079.847204397935,60,0
11,16,2000,2.108826,100000,47419.74918746259,60,1
11,16,2000,4.200046,200000,47618.52608280956,60,2
11,16,2000,4.287350999999999,200000,46648.851470290174,70,3
11,16,2000,6.424150000000001,300000,46698.785053275526,70,4
11,16,2000,6.281916999999998,300000,47756.12285230768,50,5
11,16,2000,8.620315000000002,400000,46402.0166316428,110,6
10,16,2000,2.655278,100000,37660.8400325691,60,0
10,16,2000,2.108238,100000,47432.97483490953,60,1
10,16,2000,4.540589,200000,44047.14894917818,60,2
10,16,2000,4.281906,200000,46708.17154790413,70,3
10,16,2000,6.763136,300000,44358.120256638336,70,4
10,16,2000,6.274449,300000,47812.963337497844,50,5
10,16,2000,8.960719000000001,400000,44639.27504031763,60,6
2,16,2000,2.457519,100000,40691.445315377016,109,0
2,16,2000,2.1098510000000004,100000,47396.711900508606,61,1
2,16,2000,4.336376,200000,46121.461792058624,67,2
2,16,2000,4.287932,200000,46642.53071177435,70,3
2,16,2000,6.560049000000001,300000,45731.36572607917,61,4
2,16,2000,6.2804199999999994,300000,47767.50599482201,58,5
2,16,2000,8.756939000000001,400000,45678.061706265165,58,6
13,16,2000,2.626072,100000,38079.68707636348,61,0
13,16,2000,2.1076709999999994,100000,47445.73512659235,61,1
