id,shard_id,node,shard,batchsize,delay,tx,tps,total_tx,total_tps,send,round
13,3,16,4,1000,1.7014100551605225,4000,2350.9911604599124,16000,9403.96464183965,316,4
13,3,16,4,1000,2.0013954639434814,4000,1998.6055090374475,16000,7994.42203614979,256,5
13,3,16,4,1000,2.030296802520752,4000,1970.1552970155533,16000,7880.621188062213,316,6
14,3,16,4,1000,1.5799474716186523,4000,2531.729739028608,16000,10126.918956114432,260,0
14,3,16,4,1000,1.9307396411895752,4000,2071.744897481622,16000,8286.979589926488,290,1
14,3,16,4,1000,1.2460501194000244,4000,3210.1437476094525,16000,12840.57499043781,280,2
14,3,16,4,1000,1.447338342666626,4000,2763.693797146466,16000,11054.775188585863,290,3
14,3,16,4,1000,1.7330143451690674,4000,2308.117074247168,16000,9232.468296988673,230,4
14,3,16,4,1000,2.008378744125366,4000,1991.6562111107035,16000,7966.624844442814,280,5
14,3,16,4,1000,2.024678945541382,4000,1975.6218677576232,16000,7902.487471030493,310,6
9,2,16,4,1000,1.2176783084869385,4000,3284.9398499759072,16000,13139.759399903629,256,0
9,2,16,4,1000,2.009230613708496,4000,1990.8117926876907,16000,7963.247170750763,304,1
9,2,16,4,1000,1.6114444732666016,4000,2482.245008350486,16000,9928.980033401944,268,2
9,2,16,4,1000,1.6325504779815674,4000,2450.1539486518486,16000,9800.615794607394,304,3
9,2,16,4,1000,1.3736670017242432,4000,2911.913873580098,16000,11647.655494320392,244,4
9,2,16,4,1000,1.643178939819336,4000,2434.305785613216,16000,9737.223142452864,232,5
9,2,16,4,1000,1.7320582866668701,4000,2309.391104670906,16000,9237.564418683623,340,6
8,2,16,4,1000,1.7101693153381348,4000,2338.949695872142,16000,9355.798783488568,290,0
8,2,16,4,1000,2.0109078884124756,4000,1989.15127990165,16000,7956.6051196066,340,1
8,2,16,4,1000,1.6039040088653564,4000,2493.91483398667,16000,9975.65933594668,200,2
8,2,16,4,1000,1.615356206893921,4000,2476.2340237583753,16000,9904.936095033501,270,3
8,2,16,4,1000,1.4069101810455322,4000,2843.109712254294,16000,11372.438849017177,230,4
8,2,16,4,1000,1.631587028503418,4000,2451.600760560729,16000,9806.403042242917,330,5
8,2,16,4,1000,1.8195135593414307,4000,2198.3897726202117,16000,8793.559090480847,270,6
4,1,16,4,1000,1.4128668308258057,4000,2831.123155224787,16000,11324.492620899147,250,0
4,1,16,4,1000,1.8903441429138184,4000,2116.0168189451,16000,8464.0672757804,280,1
4,1,16,4,1000,1.177952527999878,4000,3395.722582124646,16000,13582.890328498584,250,2
4,1,16,4,1000,1.3474884033203125,4000,2968.4856583134224,16000,11873.94263325369,240,3
4,1,16,4,1000,2.0543220043182373,4000,1947.1144210069783,16000,7788.457684027913,330,4
4,1,16,4,1000,1.1763811111450195,4000,3400.2586084594964,16000,13601.034433837985,260,5
4,1,16,4,1000,1.9575464725494385,4000,2043.374221808662,16000,8173.496887234648,310,6
5,1,16,4,1000,1.343010663986206,4000,2978.3829028784867,16000,11913.531611513947,250,0
5,1,16,4,1000,1.8203530311584473,4000,2197.375965833647,16000,8789.503863334588,280,1
5,1,16,4,1000,1.150890588760376,4000,3475.5693017773297,16000,13902.277207109319,250,2
5,1,16,4,1000,1.2906124591827393,4000,3099.303723236129,16000,12397.214892944516,250,3
5,1,16,4,1000,2.0123424530029297,4000,1987.7332479027,16000,7950.9329916108,320,4
5,1,16,4,1000,1.1686246395111084,4000,3422.827026540696,16000,13691.308106162784,260,5
5,1,16,4,1000,1.9783270359039307,4000,2021.9103957058005,16000,8087.641582823202,310,6
7,1,16,4,2000,1.6089470386505127,8000,4972.195981484832,32000,19888.78392593933,290,0
7,1,16,4,2000,1.9184222221374512,8000,4170.093479779769,32000,16680.373919119076,330,1
7,1,16,4,2000,1.390171766281128,8000,5754.684560599972,32000,23018.73824239989,210,2
7,1,16,4,2000,1.353626012802124,8000,5910.051908236679,32000,23640.207632946716,250,3
7,1,16,4,2000,2.181781768798828,8000,3666.7278617899397,32000,14666.911447159759,250,4
7,1,16,4,2000,1.270700454711914,8000,6295.74025124097,32000,25182.96100496388,300,5
7,1,16,4,2000,2.177478075027466,8000,3673.974995086502,32000,14695.899980346008,290,6
12,3,16,4,2000,1.7329034805297852,8000,4616.5294777723175,32000,18466.11791108927,290,0
12,3,16,4,2000,2.0563466548919678,8000,3890.394637970361,32000,15561.578551881445,330,1
12,3,16,4,2000,1.3826193809509277,8000,5786.118804799206,32000,23144.475219196825,210,2
12,3,16,4,2000,1.3995697498321533,8000,5716.042377280174,32000,22864.169509120697,240,3
12,3,16,4,2000,1.9354705810546875,8000,4133.36171487587,32000,16533.44685950348,260,4
12,3,16,4,2000,2.1933422088623047,8000,3647.4016538211026,32000,14589.60661528441,300,5
12,3,16,4,2000,2.143618583679199,8000,3732.0072054372667,32000,14928.028821749067,290,6
6,1,16,4,2000,1.8258044719696045,8000,4381.630192509016,32000,17526.520770036062,240,0
6,1,16,4,2000,1.922797441482544,8000,4160.604662460816,32000,16642.418649843265,300,1
6,1,16,4,2000,1.3879265785217285,8000,5763.993660616217,32000,23055.97464246487,240,2
6,1,16,4,2000,1.5624380111694336,8000,5120.203133058868,32000,20480.81253223547,240,3
6,1,16,4,2000,2.101858139038086,8000,3806.15601567725,32000,15224.624062709,340,4
6,1,16,4,2000,1.3739159107208252,8000,5822.772658483006,32000,23291.090633932025,250,5
6,1,16,4,2000,2.436774730682373,8000,3283.02813521041,32000,13132.11254084164,310,6
1,0,16,4,2000,1.7168638706207275,6000,3494.7441685232247,24000,13978.976674092899,292,0
1,0,16,4,2000,1.612706184387207,8000,4960.606015806794,32000,19842.424063227176,268,1
1,0,16,4,2000,1.9205796718597412,8000,4165.409077902724,32000,16661.636311610895,244,2
1,0,16,4,2000,1.4744584560394287,8000,5425.720858550979,32000,21702.883434203915,244,3
1,0,16,4,2000,1.2685189247131348,8000,6306.567323628329,32000,25226.269294513317,256,4
1,0,16,4,2000,2.1617238521575928,8000,3700.7502100766887,32000,14803.000840306755,244,5
1,0,16,4,2000,1.8979144096374512,8000,4215.153201523033,32000,16860.612806092133,304,6
0,0,16,4,2000,1.9475231170654297,6000,3080.8363440845474,24000,12323.34537633819,280,0
0,0,16,4,2000,1.6010410785675049,8000,4996.748744983994,32000,19986.994979935975,270,1
0,0,16,4,2000,1.9088656902313232,8000,4190.970606753654,32000,16763.882427014614,260,2
0,0,16,4,2000,1.514594316482544,8000,5281.942440256214,32000,21127.769761024854,310,3
