id,node,batchsize,delay,tx,send,round,TPS
7,16,1000,1.18806,50000,60,0,42085.41656145313
7,16,1000,1.1507690000000002,50000,100,1,43449.20657403875
7,16,1000,2.386018,100000,70,2,41910.83218986613
7,16,1000,2.353123,100000,70,3,42496.71606626598
7,16,1000,3.5569870000000003,150000,60,4,42170.52241124299
7,16,1000,3.5117329999999995,150000,60,5,42713.95348108755
7,16,1000,4.781539,200000,60,6,41827.53711723359
12,16,1000,1.227521,50000,60,0,40732.50070670888
12,16,1000,1.1508260000000001,50000,60,1,43447.05455038381
12,16,1000,2.4249669999999997,100000,120,2,41237.67457454061
12,16,1000,2.354057,100000,70,3,42479.854990767
12,16,1000,3.5952279999999996,150000,60,4,41721.971457721185
12,16,1000,3.5122110000000006,150000,60,5,42708.14025694925
12,16,1000,4.811211999999999,200000,50,6,41569.567086214454
6,16,1000,1.508241,50000,60,0,33151.20063703347
6,16,1000,1.149997,50000,60,1,43478.3742914112
6,16,1000,2.706156,100000,60,2,36952.784687948515
6,16,1000,2.352582,100000,70,3,42506.48861548716
6,16,1000,3.87685,150000,70,4,38691.20548899235
6,16,1000,3.5108119999999996,150000,50,5,42725.15873820644
6,16,1000,5.09812,200000,60,6,39230.14758381521
1,16,1000,1.459728,50000,61,0,34252.95671522366
1,16,1000,1.1592230000000001,50000,61,1,43132.339506721306
1,16,1000,2.6504209999999997,100000,67,2,37729.85499284831
1,16,1000,2.361822,100000,70,3,42340.193291450414
1,16,1000,3.820543,150000,109,4,39261.43482745777
1,16,1000,3.519488,150000,58,5,42619.83561245272
1,16,1000,5.036853,200000,58,6,39707.333130428866
0,16,1000,1.804543,50000,60,0,27707.846252486088
0,16,1000,1.137364,50000,60,1,43961.29998839422
0,16,1000,3.003076,100000,60,2,33299.190563275784
0,16,1000,2.3402760000000002,100000,70,3,42730.00278599618
0,16,1000,4.174509,150000,70,4,35932.369531362856
0,16,1000,3.4969480000000006,150000,50,5,42894.54690204143
0,16,1000,5.392043999999999,200000,60,6,37091.68545360535
3,16,1000,1.527497,50000,60,0,32733.288510550265
3,16,1000,1.15045,50000,60,1,43461.25429179886
3,16,1000,2.726268,100000,60,2,36680.17964484783
3,16,1000,2.352271,100000,70,3,42512.10851130673
3,16,1000,3.897583,150000,70,4,38485.38953500157
3,16,1000,3.5099980000000004,150000,50,5,42735.06708550831
3,16,1000,5.114570999999999,200000,60,6,39103.963949273566
15,16,1000,1.086757,50000,60,0,46008.44531022115
15,16,1000,1.1518410000000001,50000,60,1,43408.769092261864
15,16,1000,2.285704,100000,60,2,43750.196875885944
15,16,1000,2.351946,100000,70,3,42517.982980901776
15,16,1000,3.4573970000000003,150000,70,4,43385.24039906322
15,16,1000,3.510237,150000,110,5,42732.157401337856
15,16,1000,4.67554,200000,50,6,42775.80771418916
11,16,1000,1.557415,50000,60,0,32104.48082238838
11,16,1000,1.147642,50000,60,1,43567.593378422884
11,16,1000,2.7551110000000003,100000,60,2,36296.17826650178
11,16,1000,2.349857,100000,70,3,42555.78105391094
11,16,1000,3.926633,150000,70,4,38200.66708551576
11,16,1000,3.5081040000000003,150000,50,5,42758.139439423685
11,16,1000,5.143398,200000,110,6,38884.79950414103
10,16,1000,1.130148,50000,60,0,44241.99308409164
10,16,1000,1.1509500000000001,50000,60,1,43442.37369129849
10,16,1000,2.3281029999999996,100000,60,2,42953.42602969027
